Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	19	27	0  0	-160.6
2024	05	10	19	28	0  0	-162.5
2024	05	10	19	29	0  0	-165.7
2024	05	10	19	30	0  0	-168.5
2024	05	10	19	31	0  0	-166.6
2024	05	10	19	32	0  0	-166.7
2024	05	10	19	33	0  0	-168.5
2024	05	10	19	34	0  0	-170.5
2024	05	10	19	35	0  0	-174.5
2024	05	10	19	36	0  0	-176.5
2024	05	10	19	37	0  0	-172.1
2024	05	10	19	38	0  0	-164.9
2024	05	10	19	39	0  0	-142.3
2024	05	10	19	40	0  0	-122.0
2024	05	10	19	41	0  0	-124.6
2024	05	10	19	42	0  0	-130.2
2024	05	10	19	43	0  0	-127.2
2024	05	10	19	44	0  0	-129.9
2024	05	10	19	45	0  0	-134.8
2024	05	10	19	46	0  0	-132.6
2024	05	10	19	47	0  0	-110.8
