Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 09 24 00 000  -24.00  -118.00
1998 07 07 09 25 00 000  -24.00  -105.00
1998 07 07 09 26 00 000  -24.00  -110.00
1998 07 07 09 27 00 000  -24.00  -112.00
1998 07 07 09 28 00 000  -25.00  -109.00
1998 07 07 09 29 00 000  -25.00  -110.00
1998 07 07 09 30 00 000  -25.00  -108.00
1998 07 07 09 31 00 000  -25.00  -107.00
1998 07 07 09 32 00 000  -25.00  -103.00
1998 07 07 09 33 00 000  -25.00  -104.00
1998 07 07 09 34 00 000  -25.00  -108.00
1998 07 07 09 35 00 000  -25.00  -113.00
